job_url,source,title,company,location,description,seniority,tags,raw_source_file,seniority_inferred
https://energyjobsearch.com/jobs/engineering/1283566,energyjobsearch,Electrical Engineer (Renewables) - Cape Town,Total Energies,"Kareeberg, Northern Cape, South Africa",Context & Environment TotalEnergies gross low-carbon power generation capacity worldwide is currently close to 10 gigawatts. TotalEnergies targets 35 GW of a renewable generation capacity in 2...,NOT_APPLICABLE,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,MID_LEVEL
https://energyjobsearch.com/jobs/other/1284423,energyjobsearch,Process Lead - GL/BA,Technip Energies Abu Dhabi,"Greater Noida, Uttar Pradesh, India",JOB DESCRIPTION Be part of the solution at Technip Energies and embark on a one-of-a-kind journey. You will be helping to develop cutting-edge solutions to solve real-world energy problems. We...,NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1284426,energyjobsearch,Lead Analyst - GL,Technip Energies Abu Dhabi,"Greater Noida, Uttar Pradesh, India",JOB DESCRIPTION Be part of the solution at Technip Energies and embark on a one-of-a-kind journey. You will be helping to develop cutting-edge solutions to solve real-world energy problems. We...,NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/engineering/1235231,energyjobsearch,Mechanical Engineer - Subsea Components,NOV,"Brøndbyvester, Capital, Denmark","JOB DESCRIPTION Mechanical Engineer - Subsea Components Join us in shaping the future of energy 1. About the Role As a Mechanical Engineer in the End-Fitting Design team, you will ...",NOT_APPLICABLE,ENGINEERING | FULL_TIME,energyjobsearch_evp.csv,MID_LEVEL
https://energyjobsearch.com/jobs/engineering/1204645,energyjobsearch,Electrical engineer : nuclear projects : contract management,ARDATEM,"La Celle-sous-Gouzon, Nouvelle-Aquitaine, France","ARDATEM, founded in 1987 and currently employing around 800 people, is a subsidiary of the Gérard Perrier Industrie Group. ARDATEM operates in the energy sector, working on nuclear plants at variou...",NOT_APPLICABLE,ENGINEERING | CONTRACT_FREELANCE_SELF_EMPLOYED,energyjobsearch_evp.csv,MID_LEVEL
https://energyjobsearch.com/jobs/other/1266083,energyjobsearch,System/Controls Engineer,KBR,"Huntsville, Alabama, United States","Title: System/Controls Engineer Program Summary Kord, a wholly owned subsidiary of KBR, is a leader in advanced defense solutions with a strong focus on directed energy and high energy laser ...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,MID_LEVEL
https://energyjobsearch.com/jobs/other/1234875,energyjobsearch,"Reforma, Chiapas - Supervisor I - Surface Well Testing",Halliburton,"Chihuahua, Chihuahua, Mexico","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1284145,energyjobsearch,Senior Technical Professional-Manufacturing,Halliburton,"Lafayette, Louisiana, United States","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1284172,energyjobsearch,Paramaribo - Suriname: Chemical Scientist - Baroid,Halliburton,"Meerganj, Uttar Pradesh, India","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
https://energyjobsearch.com/jobs/other/1284184,energyjobsearch,"Well Site Supv, I",Halliburton,"Luanda, Angola","We are looking for the right people - people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themsel...",NOT_APPLICABLE,OTHER | FULL_TIME,energyjobsearch_evp.csv,SENIOR
